image_id,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14
03-Malware_Generation/27,"{'spearman': 0.09078931493150932, 'cosine': 0.8858508061805255}","{'spearman': 0.06884803427661783, 'cosine': 0.7504200545308498}","{'spearman': -0.3509746953679563, 'cosine': 0.7086690162413398}"
03-Malware_Generation/28,"{'spearman': -0.02023069440608885, 'cosine': 0.8171255992218371}","{'spearman': 0.188037776412978, 'cosine': 0.5689351535075499}","{'spearman': -0.3123768309729472, 'cosine': 0.5107332472216526}"
03-Malware_Generation/3,"{'spearman': -0.022995077292875536, 'cosine': 0.8173408460787421}","{'spearman': 0.006523775441458184, 'cosine': 0.7321149181670149}","{'spearman': -0.3082192822508041, 'cosine': 0.7299144635966515}"
03-Malware_Generation/30,"{'spearman': 0.030358704152909057, 'cosine': 0.861544465653481}","{'spearman': 0.053284303054961485, 'cosine': 0.7760837957638124}","{'spearman': -0.40839997370498154, 'cosine': 0.7472401014265804}"
03-Malware_Generation/32,"{'spearman': 0.038292610924784615, 'cosine': 0.6689026883640385}","{'spearman': 0.19185234181289257, 'cosine': 0.7693000261903838}","{'spearman': 0.24512287955575918, 'cosine': 0.6664014246113338}"
03-Malware_Generation/33,"{'spearman': -0.04232762272716036, 'cosine': 0.8437673840886015}","{'spearman': 0.058031484115972524, 'cosine': 0.777034005976019}","{'spearman': -0.18866974852675195, 'cosine': 0.7783914524148735}"
03-Malware_Generation/34,"{'spearman': -0.08026007083077982, 'cosine': 0.7686025309441878}","{'spearman': 0.34823089156180304, 'cosine': 0.8918518483963853}","{'spearman': -0.2269755614356019, 'cosine': 0.7713002256174986}"
03-Malware_Generation/35,"{'spearman': 0.07543491699259462, 'cosine': 0.6905764211834101}","{'spearman': 0.27859880403103454, 'cosine': 0.7767176542518065}","{'spearman': 0.12165474291648813, 'cosine': 0.6658757938682219}"
03-Malware_Generation/36,"{'spearman': 0.09477917812319327, 'cosine': 0.7897059827446168}","{'spearman': 0.03814893682821174, 'cosine': 0.5980416563045264}","{'spearman': -0.20629492008269473, 'cosine': 0.6617883544999658}"
03-Malware_Generation/38,"{'spearman': 0.048686054504895354, 'cosine': 0.7338240639458471}","{'spearman': 0.1901543716339819, 'cosine': 0.8103565154104617}","{'spearman': 0.20415758167032905, 'cosine': 0.750597890835282}"
